Dates,Pollster,Sample,Influence,Approve,Disapprove,Net
"9/5 - 9/8, 2025@@23992",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_posPy08.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,644 A@@1644",0.6695848,32,62,-30
"9/3 - 9/6, 2025@@23990",<a href='https://www.cbsnews.com/news/trump-national-guard-cities-opinion-poll/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: CBS News^,"2,385 A@@2385",0.649103,36,64,-28
"8/29 - 9/2, 2025@@23986",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_S3c69M7.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,691 A@@1691",0.3736775,32,62,-30
"8/29 - 9/2, 2025@@23986",<a href='https://www.scribd.com/document/910985644/Yahoo-YouGov-Crime-Poll-August-2025'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Yahoo News^,"1,690 A@@1690",0.3735891,29,62,-33
"8/13 - 9/1, 2025@@23985",<a href='https://www.documentcloud.org/documents/26085240-final-nbc-news-decision-desk-poll-august-2025-topline/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>SurveyMonkey</a>^Sponsor: NBC News^,"30,196 A@@30196",0.3421095,39,61,-22
"8/20 - 8/21, 2025@@23974",<a href='https://harvardharrispoll.com/topline-august/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Harris Insights & Analytics</a>^Sponsor: Harvard CAPS^,"2,025 RV@@2025",0.2834496,41,53,-12
"8/18 - 8/21, 2025@@23974",<a href='https://www.gelliottmorris.com/p/democrats-lead-the-us-house-generic'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Verasight</a>^Sponsor: Strength in Numbers^,"1,500 A@@1500",0.186559,34,61,-27
"8/22 - 8/24, 2025@@23977",<a href='https://www.ipsos.com/sites/default/files/Reuters%20Ipsos%20Core%20Political%20Presidential%20Approval%20Tracker%20August%202025.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"1,022 A@@1022",0.1732494,31,62,-31
"8/18 - 8/19, 2025@@23972",<a href='https://napolitannews.org/posts/how-is-trump-doing-on-voters-top-issues'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan News Service^,"1,000 RV@@1000",0.1724465,46,48,-2
"8/22 - 8/25, 2025@@23978",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_otzzSNZ.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,523 A@@1523",0.1700034,34,61,-27
"8/13 - 8/18, 2025@@23971",<a href='https://www.reuters.com/world/us/trump-approval-holds-40-lowest-level-his-term-reutersipsos-poll-finds-2025-08-18/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"4,446 A@@4446",0.099431,32,58,-26
"8/15 - 8/18, 2025@@23971",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_sBoaiA0.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,568 A@@1568",0.0503657,32,61,-29
"8/9 - 8/11, 2025@@23964",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Y7xe8fY.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,635 A@@1635",0.0150438,35,58,-23
"8/1 - 8/4, 2025@@23957",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_lSgdLYM.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,702 A@@1702",0,34,59,-25
"7/29 - 8/3, 2025@@23956",<a href='https://pos.org/wp-content/uploads/2025/08/250178-CNBC-AAES-Q2-2025-Topline-8-7-2025-Release.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Hart Research Associates/Public Opinion Strategies</a>^Sponsor: CNBC^,"1,000 A@@1000",0,37,60,-23
"7/24 - 7/31, 2025@@23953",<a href='https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/68936b40c111f97bb04773dd/1754491714447/Clarity+Omnibus+Overview+-+July+2025+%5BPUBLIC%5D.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Clarity Campaign Labs</a>,"1,018 RV@@1018",0,36,61,-25
"7/25 - 7/30, 2025@@23952",<a href='https://www.umass.edu/political-science/about/reports/2025-9#toc-toplines-and-crosstabs'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>University of Massachusetts (Amherst)</a>^Sponsor: WCVB-TV^,"1,000 A@@1000",0,31,63,-32
"7/25 - 7/28, 2025@@23950",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_7Bn59Tx.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,777 A@@1777",0,34,59,-25
"7/24 - 7/28, 2025@@23950",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/20250728_yahoo.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Yahoo News^,"1,729 A@@1729",0,31,63,-32
"7/25 - 7/27, 2025@@23949",<a href='www.ipsos.com/en-us/ipsos-core-political-survey-presidential-approval-tracker-july-2025'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"1,023 A@@1023",0,32,59,-27
"7/18 - 7/21, 2025@@23943",<a href='https://www.highpoint.edu/src/files/2023/08/hpupoll112A.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>High Point University</a>,"1,000 A@@1000",0,33,55,-22
"7/18 - 7/21, 2025@@23943",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_QYo5riR.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,729 A@@1729",0,31,61,-30
"7/18 - 7/21, 2025@@23943",<a href='https://static.foxnews.com/foxnews.com/content/uploads/2025/07/fox_july-18-21-2025_national_topline_july-23-release.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Beacon Research/Shaw & Co. Research</a>^Sponsor: FOX News^,"1,000 RV@@1000",0,36,62,-26
"7/16 - 7/20, 2025@@23942",<a href='https://prod-i.a.dj.com/public/resources/documents/Redacted1WSJPollJuly2025.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Fabrizio Lee & Associates/Impact Research</a>^Sponsor: Wall Street Journal^,"1,500 RV@@1500",0,44,55,-11
"7/16 - 7/18, 2025@@23940",<a href='https://www.scribd.com/document/890583482/Cbsnews-20250720-1-SUNDAY#download&from_embed'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: CBS News^,"2,343 A@@2343",0,36,64,-28
"7/15 - 7/16, 2025@@23938",<a href='https://www.reuters.com/world/us/trumps-approval-immigration-falls-lowest-level-his-term-reutersipsos-poll-finds-2025-07-16/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"1,027 A@@1027",0,30,60,-30
"7/7 - 7/16, 2025@@23938",<a href='https://law.marquette.edu/poll/2025/07/23/detailed-results-of-the-marquette-law-school-supreme-court-poll-july-7-16-2025-national-issues/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Marquette University Law School</a>,"1,005 A@@1005",0,35,66,-31
"7/14 - 7/16, 2025@@23938",<a href='https://www.gelliottmorris.com/p/new-poll-dems-lead-house-generic'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Verasight</a>^Sponsor: Strength in Numbers^,"1,500 A@@1500",0,33,61,-28
"7/16 - 7/16, 2025@@23938",<a href='https://napolitannews.org/posts/over-half-of-voters-approve-of-trumps-handling-of-immigration-and-crime'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan News Service^,"1,000 RV@@1000",0,45,54,-9
"7/11 - 7/14, 2025@@23936",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_fFL8Pon.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,680 A@@1680",0,34,60,-26
"7/9 - 7/13, 2025@@23935",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/Trump_Issue_Handling_poll_results.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>,"2,104 A@@2104",0,31,62,-31
"7/6 - 7/8, 2025@@23930",<a href='https://harvardharrispoll.com/wp-content/uploads/2025/07/HHP_July2025_Topline.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Harris Insights & Analytics</a>^Sponsor: Harvard CAPS^,"2,044 RV@@2044",0,42,53,-11
"7/4 - 7/7, 2025@@23929",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_haeOEK5.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,528 A@@1528",0,33,58,-25
"6/27 - 6/30, 2025@@23922",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B1ETIg8.pdf#page38'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,648 A@@1648",0,35,59,-24
"6/26 - 6/30, 2025@@23922",<a href='https://navigatorresearch.org/wp-content/uploads/2025/07/Navigator-Topline-F06.30.25.pdf?emci=ce8cac3e-8956-f011-8f7c-6045bdfe8e9c&emdi=88836e6f-9456-f011-8f7c-6045bdfe8e9c&ceid=1590570'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Global Strategy Group/GBAO (Navigator Research)</a>,"1,000 RV@@1000",0,35,58,-23
"6/25 - 6/26, 2025@@23918",<a href='https://tysongroup.co/wp-content/uploads/2025/06/June-2025-Issue-Survey.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Tyson Group</a>,"1,027 A@@1027",0,37,53,-16
"6/21 - 6/23, 2025@@23915",<a href='https://www.ipsos.com/sites/default/files/ct/news/documents/2025-06/Reuters%20Ipsos%20U.S.%20Iran%20Survey%20Topline%2006%2023%202025.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"1,139 A@@1139",0,29,64,-35
"6/20 - 6/23, 2025@@23915",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_uvch8qB.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,590 A@@1590",0,34,60,-26
"6/20 - 6/22, 2025@@23914",<a href='https://www.ipsos.com/sites/default/files/Reuters%20Ipsos%20Core%20Political%20Presidential%20Approval%20Tracker%2006%2025%202025.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"1,144 A@@1144",0,31,59,-28
"6/18 - 6/19, 2025@@23911",<a href='https://napolitannews.org/posts/significant-shift-in-support-for-trump-on-immigration'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan News Service^,"1,000 RV@@1000",0,45,54,-9
"6/13 - 6/16, 2025@@23908",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_CyorzxR.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,512 A@@1512",0,35,58,-23
"6/13 - 6/16, 2025@@23908",<a href='https://static.foxnews.com/foxnews.com/content/uploads/2025/06/fox_june-13-16-2025_national_topline_june-18-release.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Beacon Research/Shaw & Co. Research</a>^Sponsor: FOX News^,"1,003 RV@@1003",0,34,64,-30
"6/5 - 6/14, 2025@@23906",<a href='https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/6852fc5a3ac4c05449fc450e/1750269023826/Clarity+Omnibus+Overview+-+June+2025+%5BPUBLIC%5D.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Clarity Campaign Labs</a>,"1,000 RV@@1000",0,36,60,-24
"6/6 - 6/12, 2025@@23904",<a href='https://www.gelliottmorris.com/p/trump-approval-at-42-democrats-up'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Verasight</a>^Sponsor: Strength in Numbers^,"1,500 A@@1500",0,33,62,-29
"6/11 - 6/12, 2025@@23904",<a href='https://harvardharrispoll.com/wp-content/uploads/2025/06/HHP_June2025_Topline.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Harris Insights & Analytics</a>^Sponsor: Harvard CAPS^,"2,097 RV@@2097",0,42,51,-9
