Pollster,Grade,Predictive Plus-Minus,Mean-reverted bias,Number of polls,cat
AtlasIntel,A+@@1,-0.95774031,D+0.16@@0.16334188,91,D+
Marquette University Law School,A/B@@4,-0.92026073,D+0.32@@0.31545374,17,D+
The Washington Post,A+@@1,-0.90228087,D+0.90@@0.89811021,98,D+
Research & Polling Inc.,A@@2,-0.87113601,R+0.55@@-0.54944503,44,R+
The New York Times/Siena College,A@@2,-0.76394707,D+1.41@@1.4121077,116,D+
Cygnal,A@@2,-0.74733943,D+2.04@@2.0375624,58,D+
SurveyUSA,A@@2,-0.73243296,D+0.09@@0.085738368,871,D+
Siena College,A@@2,-0.6496222,D+0.12@@0.11891342,67,D+
Beacon Research/Shaw & Co. Research,A@@2,-0.635562,D+1.46@@1.4624962,62,D+
Alaska Survey Research,A/B@@4,-0.60251147,D+1.77@@1.7697144,16,D+
OnMessage Inc.,A@@2,-0.60024923,R+1.23@@-1.2251532,32,R+
TIPP Insights,A-@@3,-0.57137179,R+0.07@@-0.070992939,51,R+
Emerson College,A-@@3,-0.56915331,D+0.65@@0.64701432,317,D+
Landmark Communications,A-@@3,-0.55608732,D+0.83@@0.82627106,41,D+
Monmouth University,A-@@3,-0.52453607,D+2.00@@2.001312,131,D+
Data Orbital,A/B@@4,-0.49868253,D+0.08@@0.079388551,18,D+
University of North Florida,A/B@@4,-0.48866385,D+1.58@@1.5804788,14,D+
MassINC Polling Group,A/B@@4,-0.48559555,R+0.55@@-0.54868829,22,R+
Marist College,A-@@3,-0.43661025,D+0.52@@0.52121603,213,D+
Public Policy Institute of California,A/B@@4,-0.42050046,R+1.00@@-0.99512279,18,R+
Public Policy Polling,A-@@3,-0.39375457,D+0.88@@0.87802505,468,D+
University of California Berkeley,A/B@@4,-0.38818568,D+0.32@@0.32201099,8,D+
CBS News/The New York Times,A-@@3,-0.38629016,D+0.27@@0.26831293,66,D+
Christopher Newport University,A/B@@4,-0.35707083,D+1.00@@1.0033963,15,D+
Mason-Dixon Polling & Strategy,A-@@3,-0.31496885,R+0.50@@-0.50374806,446,R+
Strategic Vision LLC,F@@16,-0.31180862,R+1.41@@-1.4142799,133,R+
Suffolk University,A-@@3,-0.30682465,D+0.89@@0.89197379,110,D+
Stockton University,A/B@@4,-0.3032642,D+0.84@@0.84282684,12,D+
Field Research Corp. (Field Poll),A/B@@4,-0.29299855,R+0.55@@-0.54905003,25,R+
Quinnipiac University,B+@@5,-0.29048395,D+0.62@@0.61745471,228,D+
Los Angeles Times,A/B@@4,-0.26984552,R+0.14@@-0.13585153,37,R+
Hart Research Associates/Public Opinion Strategies,B+@@5,-0.2509338,D+0.85@@0.85034752,37,D+
Public Opinion Strategies,B+@@5,-0.24697377,R+1.28@@-1.2787108,80,R+
Susquehanna Polling & Research Inc.,B+@@5,-0.23362918,D+0.43@@0.4329254,56,D+
Grove Insight,A/B@@4,-0.22916877,D+0.47@@0.46524185,29,D+
OH Predictive Insights,B+@@5,-0.22588472,D+0.55@@0.55064571,22,D+
Echelon Insights,B+@@5,-0.21667188,R+0.11@@-0.10818018,18,R+
University of Massachusetts Lowell,B+@@5,-0.21641162,D+1.29@@1.2852683,38,D+
Trafalgar Group,B+@@5,-0.21543878,R+1.83@@-1.8317183,142,R+
Saint Anselm College,A/B@@4,-0.2153883,R+0.28@@-0.27550858,14,R+
co/efficient,B+@@5,-0.2090032,R+2.23@@-2.2305386,22,R+
Greenberg Quinlan Rosner/American Viewpoint,A/B@@4,-0.20856024,R+0.52@@-0.51904154,8,R+
RKM Research and Communications Inc.,A/B@@4,-0.20800491,R+0.11@@-0.10507365,35,R+
National Research,A/B@@4,-0.18605295,R+0.35@@-0.34715009,15,R+
Tarrance Group,A/B@@4,-0.18046698,R+0.87@@-0.87200117,32,R+
Dittman Research,A/B@@4,-0.1712485,D+0.81@@0.81492639,10,D+
RRH Elections,A/B@@4,-0.14706281,R+0.26@@-0.25888827,15,R+
Selzer,B+@@5,-0.14680314,D+1.27@@1.2678819,59,D+
Fairleigh Dickinson University,A/B@@4,-0.13989075,D+0.02@@0.018004164,22,D+
The Winston Group,A/B@@4,-0.13629293,D+1.03@@1.0321692,11,D+
Opinion Dynamics,A/B@@4,-0.12760398,R+0.25@@-0.24883375,34,R+
University of Connecticut,A/B@@4,-0.12506536,R+0.13@@-0.12579478,11,R+
Elway Research,A/B@@4,-0.12212537,D+0.63@@0.63228816,21,D+
Angus Reid Global,A/B@@4,-0.10719027,R+0.98@@-0.97743785,32,R+
Muhlenberg College,B+@@5,-0.098998487,R+0.11@@-0.10928108,36,R+
Gallup,B+@@5,-0.096810378,R+0.57@@-0.56518364,84,R+
"Fabrizio, Lee & Associates",A/B@@4,-0.075826116,R+0.30@@-0.30031374,11,R+
Elon University,A/B@@4,-0.07485155,D+0.36@@0.36261222,8,D+
Pharos Research Group,F@@16,-0.064963147,D+0.68@@0.67828184,33,D+
Florida Atlantic University,A/B@@4,-0.051245894,D+0.51@@0.51201946,9,D+
Garin-Hart-Yang Research Group,B+@@5,-0.037617017,D+1.73@@1.733374,33,D+
Abt Associates,A/B@@4,-0.031319756,D+0.67@@0.67124325,13,D+
National Journal,A/B@@4,-0.030784091,R+0.11@@-0.11009764,12,R+
Temple University,A/B@@4,-0.003679667,R+0.17@@-0.16539954,6,R+
Princeton Survey Research Associates International,B/C@@8,0.001223116,D+0.38@@0.38408485,35,D+
Landmark Communications/Rosetta Stone Communications,B/C@@8,0.009076268,D+1.05@@1.0475124,11,D+
Michigan State University,B/C@@8,0.01260299,R+0.04@@-0.035545263,2,R+
Vox Populi Polling,B/C@@8,0.015000123,D+0.33@@0.33029878,19,D+
KAConsulting,B/C@@8,0.023608975,R+1.33@@-1.3332769,11,R+
KRC Research,B/C@@8,0.027939018,D+0.07@@0.065072455,22,D+
Western New England University,B/C@@8,0.029009955,R+0.32@@-0.31661579,11,R+
