Dates,Pollster,Sample,Influence,Approve,Disapprove,Net
"9/6 - 9/8, 2025@@23992",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,201 RV@@2201",0.796024,42,47,-5
"8/29 - 9/2, 2025@@23986",<a href='https://www.scribd.com/document/910985644/Yahoo-YouGov-Crime-Poll-August-2025'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Yahoo News^,"1,690 A@@1690",0.7951761,35,58,-23
"8/29 - 8/30, 2025@@23983",<a href='https://johnzogbystrategies.com/wp-content/uploads/2025/09/Has-The-President-Bounced-Back_-New-Zogby-Strategies-Poll-09.03.25.html'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>John Zogby Strategies</a>,"1,000 LV@@1000",0.6105369,42.9,53.4,-10.5
"8/21 - 8/25, 2025@@23978",<a href='https://poll.qu.edu/poll-release?releaseid=3929'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Quinnipiac University</a>,"1,220 RV@@1220",0.3927721,38,56,-18
"8/29 - 8/31, 2025@@23984",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,202 RV@@2202",0.3794458,43,46,-3
"8/13 - 9/1, 2025@@23985",<a href='https://www.documentcloud.org/documents/26085240-final-nbc-news-decision-desk-poll-august-2025-topline/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>SurveyMonkey</a>^Sponsor: NBC News^,"30,196 A@@30196",0.3687754,41,59,-18
"8/20 - 8/21, 2025@@23974",<a href='https://harvardharrispoll.com/topline-august/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Harris Insights & Analytics</a>^Sponsor: Harvard CAPS^,"2,025 RV@@2025",0.2834496,41,52,-11
"8/18 - 8/21, 2025@@23974",<a href='https://www.gelliottmorris.com/p/democrats-lead-the-us-house-generic'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Verasight</a>^Sponsor: Strength in Numbers^,"1,500 A@@1500",0.186559,39,55,-16
"8/22 - 8/24, 2025@@23977",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,200 RV@@2200",0.1451762,45,47,-2
"8/13 - 8/18, 2025@@23971",<a href='https://www.reuters.com/world/us/trump-approval-holds-40-lowest-level-his-term-reutersipsos-poll-finds-2025-08-18/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"4,446 A@@4446",0.1334075,36,52,-16
"8/14 - 8/18, 2025@@23971",<a href='https://echelonin.wpenginepowered.com/wp-content/uploads/August-2025-Voter-Omnibus-Topline-External.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,057 LV@@1057",0.123647,41,53,-12
"8/15 - 8/18, 2025@@23971",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_sBoaiA0.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,568 A@@1568",0.0941,36,56,-20
"8/15 - 8/18, 2025@@23971",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,201 RV@@2201",0.0449659,44,46,-2
"8/8 - 8/10, 2025@@23963",<a href='https://www.filesforprogress.org/datasets/2025/8/dfp_trump_backlash.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Data for Progress</a>,"1,176 LV@@1176",0.024198,38,55,-17
"8/7 - 8/11, 2025@@23964",<a href='https://navigatorresearch.org/wp-content/uploads/2025/08/Navigator-Update-08.14.2025-1.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Global Strategy Group/GBAO (Navigator Research)</a>,"1,000 RV@@1000",0.0166966,38,56,-18
"8/8 - 8/10, 2025@@23963",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,200 RV@@2200",0.0088286,45,46,-1
"8/4 - 8/10, 2025@@23963",<a href='https://www.pewresearch.org/wp-content/uploads/sites/20/2025/08/PP_2025.8.14_Trump-approval_topline.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Pew Research Center</a>,"3,554 A@@3554",0,38,61,-23
"8/1 - 8/3, 2025@@23956",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,201 RV@@2201",0,43,47,-4
"7/29 - 8/3, 2025@@23956",<a href='https://pos.org/wp-content/uploads/2025/08/250178-CNBC-AAES-Q2-2025-Topline-8-7-2025-Release.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Hart Research Associates/Public Opinion Strategies</a>^Sponsor: CNBC^,"1,000 A@@1000",0,45,51,-6
"7/24 - 7/31, 2025@@23953",<a href='https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/68936b40c111f97bb04773dd/1754491714447/Clarity+Omnibus+Overview+-+July+2025+%5BPUBLIC%5D.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Clarity Campaign Labs</a>,"1,018 RV@@1018",0,42,54,-12
"7/25 - 7/30, 2025@@23952",<a href='https://www.umass.edu/political-science/about/reports/2025-9#toc-toplines-and-crosstabs'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>University of Massachusetts (Amherst)</a>^Sponsor: WCVB-TV^,"1,000 A@@1000",0,31,63,-32
"7/28 - 7/29, 2025@@23951",<a href='https://johnzogbystrategies.com/new-zogby-strategies-poll-reveals-intense-collapse-among-trump-supporters/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>John Zogby Strategies</a>,"1,010 LV@@1010",0,38.7,56.6,-17.9
"7/28 - 7/29, 2025@@23951",<a href='https://napolitannews.org/posts/trump-handling-of-tariffs-hits-lowest-ratings-since-april'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan News Service^,"1,000 RV@@1000",0,42,52,-10
"7/25 - 7/28, 2025@@23950",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_7Bn59Tx.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,777 A@@1777",0,37,51,-14
