Dates,Pollster,Sample,Influence,Approve,Disapprove,Net
"8/29 - 9/2, 2025@@23986",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_S3c69M7.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,691 A@@1691",0.9830433,47,48,-1
"8/29 - 8/31, 2025@@23984",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,202 RV@@2202",0.7162402,49,45,4
"8/21 - 8/25, 2025@@23978",<a href='https://apnorc.org/wp-content/uploads/2025/08/AP-NORC-August-2025-Topline-Crime.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>AP-NORC</a>,"1,182 A@@1182",0.6247305,44,53,-9
"8/20 - 8/21, 2025@@23974",<a href='https://harvardharrispoll.com/topline-august/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Harris Insights & Analytics</a>^Sponsor: Harvard CAPS^,"2,025 RV@@2025",0.5704131,50,45,5
"8/22 - 8/25, 2025@@23978",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_otzzSNZ.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,523 A@@1523",0.4664088,46,50,-4
"8/18 - 8/19, 2025@@23972",<a href='https://napolitannews.org/posts/how-is-trump-doing-on-voters-top-issues'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan News Service^,"1,000 RV@@1000",0.3723527,50,45,5
"8/18 - 8/21, 2025@@23974",<a href='https://www.gelliottmorris.com/p/democrats-lead-the-us-house-generic'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Verasight</a>^Sponsor: Strength in Numbers^,"1,500 A@@1500",0.3720986,46,51,-5
"8/22 - 8/24, 2025@@23977",<a href='https://www.ipsos.com/sites/default/files/Reuters%20Ipsos%20Core%20Political%20Presidential%20Approval%20Tracker%20August%202025.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"1,022 A@@1022",0.3692391,43,51,-8
"8/14 - 8/18, 2025@@23971",<a href='https://echelonin.wpenginepowered.com/wp-content/uploads/August-2025-Voter-Omnibus-Topline-External.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,057 LV@@1057",0.3415011,47,51,-4
"8/22 - 8/24, 2025@@23977",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,200 RV@@2200",0.3183876,52,42,10
"8/13 - 8/18, 2025@@23971",<a href='https://www.reuters.com/world/us/trump-approval-holds-40-lowest-level-his-term-reutersipsos-poll-finds-2025-08-18/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"4,446 A@@4446",0.2854787,43,48,-5
"8/15 - 8/18, 2025@@23971",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_sBoaiA0.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,568 A@@1568",0.1869702,43,53,-10
"8/15 - 8/18, 2025@@23971",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,201 RV@@2201",0.1435667,49,44,5
"8/9 - 8/11, 2025@@23964",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Y7xe8fY.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,635 A@@1635",0.0545966,47,48,-1
"8/8 - 8/10, 2025@@23963",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,200 RV@@2200",0.040214,52,42,10
"8/1 - 8/4, 2025@@23957",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_lSgdLYM.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,702 A@@1702",0.0147942,45,51,-6
"7/29 - 8/3, 2025@@23956",<a href='https://pos.org/wp-content/uploads/2025/08/250178-CNBC-AAES-Q2-2025-Topline-8-7-2025-Release.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Hart Research Associates/Public Opinion Strategies</a>^Sponsor: CNBC^,"1,000 A@@1000",0.0136611,49,49,0
