Dates,Pollster,Sample,Influence,Approve,Disapprove,Net,Sample Size,Sample Type,End Date,Grade,Predictive Plus-Minus,Mean-reverted bias,Number of polls,cat,Bias,Adj_Approve,Adj_Disapprove,Adj_Net,Sample Priority,Grade Priority,Simple Grade,Recency,Recency Weight,Sample N Weight Raw,Sample N Weight,Combined Weight,Color
"8/27 - 8/29, 2025@@23982",TIPP Insights,"1,362 A@@1362",1.527069,43.0,47.0,-4.0,1362.0,A,2025-08-29,A-@@3,-0.57137179,R+0.07@@-0.070992939,51.0,R+,-0.07,43.035,46.965,-3.930000000000007,1.0,1.0,A-,0,1.0,36.90528417449187,0.5709648585486764,0.5709648585486764,red
"8/25 - 8/26, 2025@@23979",Emerson College,"1,000 RV@@1000",1.233998,44.7,47.3,-2.599998,1000.0,RV,2025-08-26,A-@@3,-0.56915331,D+0.65@@0.64701432,317.0,D+,0.65,44.375,47.625,-3.25,2.0,1.0,A-,3,0.25,31.622776601683793,0.5390493969768073,0.7277166859186899,red
"8/21 - 8/25, 2025@@23978",Quinnipiac University,"1,220 RV@@1220",0.9752098,37.0,55.0,-18.0,1220.0,RV,2025-08-25,B+@@5,-0.29048395,D+0.62@@0.61745471,228.0,D+,0.62,36.69,55.31,-18.620000000000005,2.0,1.0,B+,4,0.2,34.92849839314596,0.5590216611616776,0.7490890259566481,red
"8/21 - 8/25, 2025@@23978",APNORC,"1,182 A@@1182",0.8206564,45.0,53.0,-8.0,1182.0,A,2025-08-25,,,,,,0.0,45.0,53.0,-8.0,1.0,1.0,,4,0.2,34.38022687534217,0.5557091550618302,0.4667956902519374,red
"8/21 - 8/28, 2025@@23981",RMG Research,"3,000 RV@@3000",0.8195178,50.0,49.0,1.0,3000.0,RV,2025-08-28,B@@6,0.27802283,D+3.25@@3.2477651,28.0,D+,3.25,48.375,50.625,-2.25,2.0,1.0,B,1,0.5,54.772255750516614,0.6789121992539866,0.9504770789555813,green
"8/20 - 8/21, 2025@@23974",Harris Insights  Analytics,"2,025 RV@@2025",0.7965932,47.0,49.0,-2.0,2025.0,RV,2025-08-21,B@@6,0.16244708,R+1.05@@-1.0490152,193.0,R+,-1.05,47.525,48.475,-0.9500000000000028,2.0,1.0,B,8,0.1111111111111111,45.0,0.6198709108928424,0.8196070932916472,red
"8/25 - 8/29, 2025@@23982",Rasmussen Reports,"1,500 LV@@1500",0.770526,48.0,51.0,-3.0,1500.0,LV,2025-08-29,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,48.675,50.325,-1.6500000000000057,3.0,1.0,B,0,1.0,38.72983346207417,0.5819882848043362,1.0525520901316683,red
"8/22 - 8/25, 2025@@23978",YouGov,"1,523 A@@1523",0.7167099,41.0,56.0,-15.0,1523.0,A,2025-08-25,B@@6,0.047635015,D+1.09@@1.0927403,519.0,D+,1.09,40.455,56.545,-16.090000000000003,1.0,1.0,B,4,0.2,39.02563260217571,0.5837754220604185,0.49037135453075165,red
"8/21 - 8/26, 2025@@23979",Talker Research,"1,000 A@@1000",0.7077761,43.0,46.0,-3.0,1000.0,A,2025-08-26,,,,,,0.0,43.0,46.0,-3.0,1.0,1.0,,3,0.25,31.622776601683793,0.5390493969768073,0.4581919874302863,red
"8/18 - 8/21, 2025@@23974",Verasight,"1,500 A@@1500",0.5421148,41.0,56.0,-15.0,1500.0,A,2025-08-21,,,,,,0.0,41.0,56.0,-15.0,1.0,1.0,,8,0.1111111111111111,38.72983346207417,0.5819882848043362,0.4785237008391209,red
"8/22 - 8/24, 2025@@23977",Ipsos,"1,022 A@@1022",0.4948997,40.0,54.0,-14.0,1022.0,A,2025-08-24,B-@@7,0.44289753,D+1.89@@1.8925899,116.0,D+,1.89,39.055,54.945,-15.89,1.0,1.0,B-,5,0.16666666666666666,31.96873472629156,0.5411395810568513,0.4509496508807095,red
"8/22 - 8/24, 2025@@23977",Morning Consult,"2,200 RV@@2200",0.4469368,47.0,51.0,-4.0,2200.0,RV,2025-08-24,B-@@7,0.58499432,D+3.37@@3.3696144,114.0,D+,3.37,45.315,52.685,-7.3700000000000045,2.0,1.0,B-,5,0.16666666666666666,46.9041575982343,0.6313753087220204,0.841833744962694,red
"8/17 - 8/20, 2025@@23973",American Research Group,"1,100 A@@1100",0.4439692,38.0,59.0,-21.0,1100.0,A,2025-08-20,C+@@9,0.8181411,D+0.07@@0.069949053,280.0,D+,0.07,37.965,59.035,-21.069999999999993,1.0,1.0,C+,9,0.1,33.166247903554,0.5483746271526603,0.4496671942651815,red
