Pollster,Simple average error,Simple Plus-Minus,Advanced Plus-Minus,Mean-Reverted Advanced Plus-Minus
AtlasIntel,2.290879121,-1.880626652,-1.1667598,-0.96544218
The Washington Post,2.959489796,-1.804223146,-1.2779913,-0.97082263
Research & Polling Inc.,4.177045455,-1.338519567,-1.8918567,-1.0888201
The New York Times/Siena College,4.017586207,-1.086972859,-1.1139377,-0.92814261
Cygnal,3.912241379,-1.11309687,-1.5815965,-1.1639011
SurveyUSA,4.711176808,-0.873305606,-0.90938514,-0.86536878
Siena College,5.108507463,-0.370097198,-0.94106781,-0.6539619
Beacon Research/Shaw & Co. Research,4.804032258,-0.826917212,-0.8176918,-0.57935929
OnMessage Inc.,3.2628125,-1.738011121,-1.5780141,-0.96771294
TIPP Insights,2.089215686,-1.820194233,-1.328837,-0.93060738
Emerson College,4.642744479,-0.79388476,-0.89280188,-0.83207798
Landmark Communications,4.27195122,-0.968006454,-1.2409124,-0.72233766
Monmouth University,5.719557252,-0.447793145,-0.90711021,-0.74231505
MassINC Polling Group,4.52,-1.487115547,-0.98253447,-0.43516907
Marist College,5.28028169,-0.681033906,-0.5225364,-0.45745784
Public Policy Polling,5.161282051,-0.331672718,-0.43429428,-0.40279713
CBS News/The New York Times,4.463939394,-0.964330405,-0.56384706,-0.3008464
Mason-Dixon Polling & Strategy,5.136042601,-0.293252824,-0.46371415,-0.41179395
Strategic Vision LLC,3.924473684,-1.180141101,-0.66674221,-0.44652998
Suffolk University,4.861727273,-1.291158191,-0.47429785,-0.37847465
Field Research Corp. (Field Poll),4.1036,-1.83379539,-2.416775,-0.74469602
Quinnipiac University,4.7125,-0.817784841,-0.27122957,-0.23514812
Los Angeles Times,5.033513514,-1.350149576,-0.74335617,-0.24623168
Hart Research Associates/Public Opinion Strategies,3.44,-1.428455932,-0.60566759,-0.33833271
Public Opinion Strategies,5.4655,-0.142385922,-0.36122483,-0.23373187
Susquehanna Polling & Research Inc.,4.965178571,-0.417378518,-0.47120842,-0.31600836
Grove Insight,2.954827586,-2.055683031,-1.7712978,-0.68732744
OH Predictive Insights,3.885,-1.308436527,-0.95438492,-0.49676514
University of Massachusetts Lowell,5.430263158,-0.456771924,-0.24596682,-0.15302902
Trafalgar Group,4.262253521,-0.478740189,-0.26867983,-0.23231436
co/efficient,4.912727273,-0.123634213,-0.69369203,-0.35297337
RKM Research and Communications Inc.,5.166857143,-1.26113963,-0.94350541,-0.39815709
Tarrance Group,5.61875,-0.550814681,-0.61587799,-0.28763771
Selzer,5.714067797,-0.261353148,-0.007828343,-0.005162728
Fairleigh Dickinson University,4.681818182,-0.56470767,-0.35114929,-0.12630801
